Id,Median,Total
130890212101,99013,1917
131210101231,31114,2818
131210101233,61094,1018
130670308002,26780,2611
130670308003,46250,1320
130670313103,26429,2359
130890212132,135648,2317
130670311013,38867,914
130670311012,46991,1118
130670311011,40548,2442
131210077062,36753,1359
131210077063,58823,4366
131210077061,32515,3073
130670304132,35385,1923
130670304133,48349,1858
130670304131,28125,1694
130890214162,99732,411
130670314052,93220,3226
130670313072,75844,2064
130670309044,33232,1748
130670309041,45366,1898
130670309043,22945,1314
130670309042,40795,1703
131210078071,15709,2168
131210078072,41341,728
130670313121,34515,1025
130670313123,58242,4497
130670313122,83068,1041
131210101143,51597,1919
131210101142,41536,3402
131210101141,75408,1547
130670309022,26643,2555
130670309021,19213,992
130670309024,53012,999
131210082022,22404,808
131210082023,23563,310
131210082021,42797,936
131210082024,,103
131210078051,14914,1324
131210095021,118155,652
130890214123,100119,853
130890214122,60938,1328
130890214121,123661,1150
130670313102,28581,3490
130670313101,28359,1516
131210118002,9229,1866
130670303182,132679,3111
130670303183,122454,2432
130670303181,145066,2294
131210102121,41629,2233
131210102122,129861,654
131210102123,55051,2337
131210024001,30272,877
131210024002,30664,859
130670304082,83438,1785
130670304081,51923,1252
131210101103,41923,1258
131210101102,64719,1014
131210101101,89808,2590
131210100023,129877,3500
131210100022,182727,1900
131210100021,171583,1517
131350503061,29044,2316
130670312113,45406,613
130670312112,52775,2460
130670312111,63646,501
131210060001,40625,678
130890214161,43641,2483
131210076023,29006,1346
131350503043,30441,1297
131350503042,43378,1833
131210078052,44276,2011
131210090003,67500,1516
131210090001,112143,1204
130890211011,116250,3672
130670312092,116250,1563
130670312091,129028,2371
131210094021,55500,2607
131210094022,69792,2355
130890212021,103646,2768
130890212022,123611,2182
130890212023,86531,1937
131210006001,43570,6102
130670311064,43042,2401
130670311062,71954,2240
130670311063,64880,1829
130670311061,63333,1035
131210094043,103021,409
131210094042,81667,1778
131210094041,89853,2343
131210005001,58750,2455
131210096023,134191,1271
131210096022,91081,2104
131210096021,88500,1297
130670310024,34551,2000
130670310021,23667,2857
130670310023,33945,1923
130670310022,23650,1986
130670311084,33235,1030
130670311081,45673,514
130670311082,43854,674
131210090002,179583,1626
131210097002,217688,1313
131210097003,205750,1873
131210097001,106630,949
131210083022,30216,1311
130670303201,81938,2921
130670303203,58350,2100
130670303202,118281,2330
130670302331,103676,1499
131210093004,156923,871
131210093002,78886,1120
131210093003,91630,1262
131210093001,101250,988
130670313124,112520,3020
130670310043,43696,2109
130670310042,31909,1960
130670310041,47655,2599
130670310044,28519,1360
131210083011,21897,1834
131210083012,35573,689
130670313073,87143,2279
130670313071,62177,1383
130890212042,49464,1886
130890212043,21788,1012
130890212041,31176,1434
130670311123,101583,2081
130670311122,51071,1971
130670311121,65694,748
131210103041,84955,5049
131210103042,83150,8071
130890214053,143993,1240
130890214052,103688,1365
130890214051,57583,1141
131210007002,63594,802
131210007001,,2197
131210102051,73171,872
131210102052,96471,1087
131210102053,98947,1681
131210102054,104236,1047
131210088002,74215,2588
130670311101,40444,2695
130670311102,68384,1355
131210099001,81449,1828
131210099002,207961,1181
131210099003,250001,1007
131210099004,250001,773
131210088001,105000,2817
130670303451,33393,2885
130670303452,62692,372
130670303453,76333,1903
130670310012,30223,878
130890213063,34509,1737
130670312071,66985,896
130670312072,37529,1637
130670312073,98750,525
130890212082,61500,1103
130890212081,56875,2202
130670311163,41014,401
130670311162,50882,863
130670311161,38217,3333
130670310013,33456,2721
131210095022,38036,337
131210095023,69712,1063
130670312052,101559,2066
130670304142,55966,727
130670304141,26141,2017
130890213062,34904,473
130890213061,43013,2442
130670313094,58472,2351
130670313091,40592,962
130670313093,44012,3026
130670313092,64146,1471
130670303392,57073,3883
130670303391,53868,1413
131210081011,29178,1243
130670311141,41612,3671
130670311144,42530,502
131210091022,91136,819
131210091023,35138,1805
131210091021,200667,729
130670314043,53996,1229
130670314042,107286,2751
131210089023,51513,1090
131210089022,38774,1063
131210089021,54798,1678
130890212161,110084,1377
130890212163,49333,3024
130890212162,75222,3878
130970801022,47269,5194
130670314061,46220,1408
130670314062,29761,2312
131210101222,72031,1375
131210101223,64765,2648
130890212103,126538,2232
130670313111,38304,3238
130670313112,43561,3469
130670313113,29609,2988
131210085001,23988,1003
131210085003,36458,2225
131210085002,22533,1158
131210078024,77625,1658
131210078023,43603,1296
131210078022,51029,2501
131210078021,34266,4172
131210077052,17286,2359
130890214171,50013,1396
131210098021,250001,1754
131210098022,120313,2351
130670309052,35938,877
130670309053,52959,2769
130670309051,70500,3267
130670309054,67788,1315
130670311181,62750,1052
130670311183,65086,2070
130670311182,76350,2355
131350503171,20185,581
130670313132,95880,2940
130670313131,138203,7305
130670304121,48594,567
130670304123,26699,450
130670304122,39206,2896
130670304124,,58
130670312063,72879,3357
130890214152,53818,933
130890214153,98945,2130
130890214151,85549,895
130670312061,87169,4567
131210089041,60822,1295
131210089043,82550,1831
131210089042,58973,1545
131210082013,29469,1235
131210082012,16988,3391
131210082011,32385,2593
131210078063,41648,1041
131210078062,25803,3415
131210078061,39180,1566
130890214131,38611,2792
130890212094,154375,868
131210086013,28152,1549
131210086012,29667,1173
131210086011,9728,1453
130890212092,66507,1398
131210086014,27019,805
130670313082,28770,1684
130670309014,78698,1356
130670309015,40321,2657
130670309012,85227,1516
130670309011,84630,627
131210096031,55500,1173
130670311152,68177,2443
130670311151,41851,1825
131210077031,58750,728
131210077033,39886,1625
131210077032,34177,1543
131210095024,22115,1101
130890214112,92500,1774
130890214111,83417,1506
131210086022,40441,531
131210086021,21674,796
130890212183,43827,1313
130890212182,60434,1834
130890212181,44739,1851
131210101151,106167,2463
130670312053,52574,2025
130670312051,90323,1664
131210005003,152969,1170
131210101132,36148,3399
131210101133,94167,1942
131210101131,57713,1884
131210102111,195446,1161
131210102112,85057,2681
131210078081,15403,1836
131210078082,10361,2488
131210100012,117500,1413
131210100013,143542,372
131210100011,80139,1203
131210100014,86385,1269
130670312121,125000,2286
130890214173,31364,2561
131210094032,66031,1266
131210094033,49746,1131
131210094031,51458,3182
131210079002,51767,1459
131210079003,57813,2554
131210079001,65949,1504
130670311143,32853,1593
130670311142,44293,1800
130670310011,26935,2133
130890212102,87222,1126
131210010021,24028,7913
130670312081,53750,546
130670312083,54408,3446
130670312082,83299,2138
131210096032,49938,1013
131210096033,73455,1430
130890211024,80784,2099
130890211021,74524,161
130890211023,89444,1167
130890211022,123015,1677
131210089024,60679,2398
131210040002,25484,671
131210040003,26471,464
131210040001,28802,1424
131210103012,59024,6706
131210103011,65926,9210
131210096012,63056,1215
131210096011,112961,1272
130670310051,54884,2796
130670310052,39866,2897
130670313061,37500,2480
130670313062,55417,1701
130670311131,29523,941
130670304073,65417,1840
130670304072,47356,961
131210103031,54009,2890
131210103032,74738,6856
131210092001,60250,2056
130890213012,35673,2274
130890213011,52656,928
131210023003,23092,412
131210023002,12235,526
130670311112,52438,1182
130670311111,82206,2085
131210087003,26844,907
131210087002,19271,920
131210087001,24567,1029
131210087004,19272,1493
130670304051,40121,2624
130670304053,34663,1628
130670304052,61094,1005
130670304054,40980,883
131210083021,28021,687
131210102043,139375,1321
131210102042,152727,1878
131210102041,121146,1104
131210102044,177656,881
130890212113,104531,1311
130670311171,123000,2061
130670311172,91705,1759
130670311173,73918,835
130890212151,83373,3758
130890212152,103275,1628
130670303443,45189,403
130670303442,26833,814
130670303441,43900,2198
131210095013,222552,1541
131210095012,124728,1733
131210095011,109464,653
131210102101,51110,1551
130890213052,38919,4524
130890213051,61125,807
131210102061,134712,2181
130670312062,41080,838
131210102063,216694,1308
131210102062,161328,1485
130670311083,35106,2974
130890212091,49167,1094
130890212093,53657,1674
130670313083,48500,2398
130670313081,45978,955
131210105141,67130,4944
131210081024,19604,2542
131210081023,19440,2619
131210081022,42647,602
131210081021,29952,1363
131210091013,68214,652
131210091012,75401,1631
131210091011,75093,1348
131210091014,60221,799
130670314054,74375,1513
131210089031,66635,2002
130890212171,73927,2512
131210080004,50192,1325
131210080005,51397,1484
131210084002,28355,934
131210084003,20400,1195
131210084001,14219,1361
131210098011,80880,1729
131210098012,172540,1125
131210098013,171250,1662
131210101211,67443,1990
130890212112,103750,2053
131210077041,26705,745
131210077042,29647,1948
131210077043,44957,2350
130670304111,18750,457
130670304112,22408,982
130670304113,30179,2294
