Id,Median,Total
484530018472,75480,4938
484530018602,49987,2678
484530017162,87530,3400
484530017161,130294,1690
484530017372,111283,5264
484530017373,127933,4275
484530018061,41691,693
484530017131,49844,1656
484530018513,54942,2287
484530017141,61857,7381
484530017143,124707,2092
482090109011,93068,1389
484530017285,79250,1324
484530017283,77591,963
484530017281,76364,1221
484530018621,80550,3417
484530018622,77417,2617
484530020041,31734,1480
484530017822,168524,1509
484530017823,116953,2000
484530017821,60694,1956
484530018511,98750,1899
484910204061,45806,2918
484530017611,105141,2375
484910205044,49732,1880
484530019111,47617,1776
484530019112,68125,1223
484530006042,7737,1517
484530006041,18269,1207
484530018432,89412,1004
484910204052,67891,1538
484530017451,105515,832
484530012003,61859,879
484530012001,42577,1363
484530017184,76154,1379
484530017181,36443,1570
484530017183,85441,957
484530017371,70313,949
484530013041,57917,1375
484530013043,72557,822
484530015034,44792,742
484530015033,59906,1633
484530019132,247625,2450
484530019131,165652,2406
484530017864,61028,1379
484530017862,51726,809
484530017863,50518,1932
484530017861,65488,1150
484530007001,43106,1136
484530018333,64097,2242
484910203183,83646,2230
484910203182,55304,3185
484530017471,51134,2557
484530017651,70460,4573
484530017652,120442,9165
484530017182,102076,1542
484530017852,37750,1024
484530017452,77938,1660
484530019151,53594,1696
484530017851,74071,3140
484530019173,148088,1006
484530017221,62250,893
484530017222,42489,1167
484530017223,59167,1821
484530018192,21023,1711
484530018441,45227,1007
484530018443,65357,721
484530015014,88547,1616
484910204083,81852,731
484530018242,64722,1233
484530019174,178750,1373
484530019172,213107,1482
484530017751,123525,4308
484530017752,90741,778
484530006035,8625,1935
484530006032,6496,2084
484530006031,7127,1735
484530017493,49808,1297
484530017491,83672,1463
484530017691,58872,1473
484530018063,29481,2797
484530018233,27500,2645
484530015053,31619,1293
484530017142,94600,2932
484530015052,72422,954
484530015054,45789,1136
484530019191,154750,1515
484530019192,151048,1803
484530019193,141452,557
484530017772,66884,2027
484530006011,8063,976
484530015032,36759,436
484530015031,42266,1197
484530001011,72222,799
484530001012,107750,1288
484530020051,50750,1399
484530017512,105208,1250
484910204092,67292,1810
484530017385,51859,917
484530016051,83462,1307
484530017571,144107,444
484530017572,74044,1626
484530017383,107969,1240
484530017382,138828,745
484530017381,78705,927
484530017743,128125,2327
484530017742,89755,4492
484530018641,44875,1166
484530005001,11810,965
484530017552,195121,3556
484530017551,135938,2318
484530017053,159044,724
484530017052,131357,1311
484530017051,70052,1278
484530017054,65714,1364
484530003022,24766,1210
484530003021,35987,1086
484530018183,51865,1810
484530003025,51838,1448
484530017531,57957,1051
484530017284,72687,1880
484530017282,62685,1736
484530020042,27821,555
484530016032,87414,927
484530016033,79688,492
484530016031,128864,842
484530016034,141250,1116
484530016035,129500,1331
484530018332,60859,1357
484530016054,67083,1090
484530017071,64702,1529
484530017073,64861,1059
484530017072,69591,2149
484530018171,35171,1118
484530018173,74044,1474
484530017384,102342,2840
484530018064,5239,369
484530018062,20655,2218
484530018213,38355,2427
484530018182,39661,1912
484530018431,62986,1287
484530016052,71406,472
484530016053,102083,714
484530017771,73005,3849
484530018514,37103,1604
484530018041,45942,1831
484530018512,50417,3286
484530018043,31369,3685
484530018042,45872,1469
484530018211,46116,2136
484530018212,67045,1360
484530017832,70824,2125
484530018601,45240,1733
484530018631,31097,2464
484530017612,167594,4779
484530018531,90705,1792
484530018532,85500,1369
484530015042,68400,902
484530015041,64926,1245
484530018442,37039,1901
484530001013,53179,1744
484530018232,31023,743
484530018231,31077,3311
484530019011,44639,1704
484530019012,65208,2020
484530018492,44699,1073
484530018493,51731,1229
484530018491,68917,1674
484530018494,45948,1467
484530018331,38003,3509
484530018292,65893,1481
484530018552,97793,3976
484530018555,94473,1942
484530018554,71397,2009
484910204081,62857,2023
484910204082,42931,1922
484530005004,44441,1834
484530005002,18618,853
484530002053,50464,576
484530017133,67656,1759
484530018461,75208,974
484530018391,61938,4110
484530018392,62188,2602
484530018611,74500,2414
484530018051,31970,1471
484530006034,12258,734
484530018571,57104,2453
484530017481,99095,2091
484530017482,64672,3987
484530018413,110420,2616
484530018462,98750,1536
484530018401,57629,4972
484530018411,62323,8224
484530018632,33565,1427
484530017812,106346,1389
484530017811,116481,932
484530006012,5250,8366
484530003052,27845,696
484530003053,28684,1164
484530003051,51852,1213
484530013031,86766,746
484530013033,74261,692
484530018481,49597,1021
484530017831,123294,3489
484530006043,4807,3164
484910204062,48418,2988
484530017192,84896,552
484530017193,136250,1497
484530017191,150536,1858
484910204101,87721,830
484910204102,39811,1964
484530018414,98203,3895
484530002063,35982,1163
484530019103,112222,1695
484530019102,159000,825
484530019101,80640,1147
484530017461,60104,2421
484530019104,134750,810
484530019121,131607,2705
484530019122,168194,1107
484530012002,75067,2152
484530019171,120521,858
484530017402,84759,2084
484530018291,35341,1191
484530018452,80375,1255
484530018322,63472,1213
484530018451,59091,2051
484530015044,80380,1425
484530019143,73289,2320
484530019142,180511,1217
484530019141,85893,2685
484910204103,94572,1309
484910204104,26917,1703
484530018352,54485,942
484530018402,44150,1658
484530018483,47132,2553
484530018482,73167,1120
484910204091,62948,1981
484530019161,188676,2565
484530019162,250001,841
484530017741,100313,1266
484530018172,38958,985
484530017462,46184,1286
484530019013,89417,1685
484530015043,60000,1324
484530019183,162857,862
484530019182,133068,893
484530019181,139375,780
484530017762,80590,1621
484530017761,82333,1040
484530001022,158000,815
484530017601,121938,10499
484910204112,71719,1766
484910204113,91161,822
484910204111,100515,2873
484530018353,36417,2094
484530017562,50417,1546
484530017561,89000,2428
484530017702,114297,2367
484530001021,144271,1703
484530018283,91875,1301
484530018282,81528,957
484530018281,103452,1635
484530018131,30107,3680
484530018132,28333,2601
484530019082,78201,5703
484530019081,124342,3073
484530018471,88081,2422
484530018403,56028,3050
484530002043,66667,647
484530017541,56711,2074
484530017543,60262,1562
482090109013,115938,2920
484530017062,50625,1131
484530017063,78527,1389
484530017061,114500,992
484530018224,34328,936
484910203181,67083,3489
484910204054,59879,1925
484910204053,59107,1474
484530017523,17386,1192
484530017522,26491,1218
484530017521,40021,1594
484530017291,65192,1467
484530017293,72827,2347
484530017292,76442,914
484910204042,103594,1628
484530018241,56641,679
484530017473,77625,1986
484530017472,64932,942
484530018321,34470,1994
484530016021,52883,851
484530016023,31802,1113
484530016022,68393,1189
484530017511,111250,713
484530002031,51157,1618
484530018501,38696,682
484530018502,48438,1663
484530018503,38833,1883
484530018052,31250,3224
484530015011,47969,1242
484530015013,66750,981
484530015012,89777,1276
484530017501,52433,851
484530017503,72757,2301
484530017502,67361,1653
484530018203,44777,3395
484530018261,52534,749
484530018262,63542,1456
484530018181,62031,1669
484530018191,29281,2924
484530016043,131944,1043
484530016042,99808,747
484530016041,112125,1307
484530016044,160455,673
484530018642,43142,1643
484530025003,67143,1689
484530002051,61912,1573
484530025002,71464,1058
484530002052,40820,1389
484530017122,45938,1930
484530017121,67734,1310
484530002061,70563,1337
484530002062,106906,733
484530013044,46094,752
484530018202,31746,1947
484530018201,28306,1717
484530013042,78929,817
484910205031,116831,1964
484530016061,,320
484530017492,76979,924
484530025001,98654,895
484530025004,49327,1771
484530017494,56504,1848
484910204031,77150,1033
484530015051,66500,830
484910204051,36087,802
484530002042,93333,1009
484530002041,23886,1299
484530017401,69470,2391
484530006033,5592,1469
484530018221,27380,3374
484530018223,29659,1316
484530018222,40469,1630
484910204041,58935,1671
484910204032,45000,846
484530018612,73365,2495
484530017542,84125,947
