Id,Median,Total
250251101032,47266,532
250251101033,30521,416
250251101031,72813,592
250251101036,126141,704
250251101037,6051,1095
250251101034,33520,657
250251101035,89464,1861
250173502001,78365,1181
250173502003,53831,1047
250173502002,68750,475
250173502005,57321,683
250173502004,78571,1485
250173502006,63415,1252
250173576002,71667,1554
250173576001,104028,784
250214010003,57227,1762
250214010002,129423,597
250214010001,121172,735
250173521021,100306,1217
250173521022,83083,1538
250214009001,57016,1648
250214009003,106964,1617
250214009002,24464,604
250173740001,130000,1309
250173740003,127981,1476
250173740002,121172,2359
250251701007,68464,1443
250173391005,139432,1153
250173703001,133083,157
250173703002,73355,1703
250173703003,53036,734
250173703004,50887,830
250173703005,83233,566
250173703006,66250,517
250173703007,102500,918
250173566011,72591,1833
250173566012,167824,1137
250173566013,138125,662
250173566014,162885,821
250173525002,72569,1472
250173525001,93750,1505
250173514033,14375,664
250173514032,52091,975
250173514031,71250,591
250173514035,57520,551
250173514034,43365,991
250251201043,71518,850
250173563001,35347,1287
250173563003,111176,591
250251301005,76420,866
250251301004,94965,832
250251301007,82273,697
250251301006,171818,384
250251301001,92333,1480
250251301003,85469,605
250251301002,54750,1135
250173534001,76471,1809
250173534002,66932,1335
250173734002,114375,1061
250173734001,95976,2183
250250008032,,3155
250250008031,33914,2600
250250003021,80313,962
250250003022,68592,1777
250259901010,,0
250250509013,38913,876
250173394001,40972,777
250173394002,51745,663
250173394003,71875,771
250173394004,62167,987
250250004021,40431,1209
250250004022,56742,1174
250250004023,69643,1179
250173530001,,42
250173530002,53478,610
250173530003,30509,991
250173530004,74746,1943
250173421021,35736,871
250250007043,36800,1041
250250007042,49000,683
250250007041,69318,1216
250250007044,26685,819
250250108023,56058,567
250250108022,96875,1148
250250108021,114167,1332
250173501031,,0
250173501032,74196,1315
250173421022,54152,1014
250173531011,68580,1519
250173531012,77692,935
250214007003,179330,935
250214007001,115714,1190
250250606001,92014,2461
250251207002,77813,1127
250251106011,69514,1712
250251106012,105368,964
250250701018,250001,368
250173574001,128750,795
250173574003,101181,780
250250303004,96912,618
250250303002,147422,1387
250250303003,55813,1387
250250303001,102757,2014
250214031002,103304,916
250214031003,215341,842
250214031001,126172,661
250214031004,198790,1426
250214031005,91136,767
250250007032,23894,1419
250173399002,106923,1011
250250007031,15833,1274
250173399001,70592,1418
250251706014,57361,1178
250251706013,43429,1105
250251706012,51300,1982
250251706011,70313,1231
250173577001,99531,907
250173701021,102768,1104
250173577003,91250,1047
250173577002,66250,684
250173701024,81346,1989
250173577004,72500,963
250214035001,85083,1578
250173691004,78272,1626
250173691005,79875,1100
250259803001,,371
250214021014,82188,1571
250214021011,50781,627
250214021012,87927,972
250214021013,96806,685
250173424004,35526,1217
250173424002,42643,1120
250173424003,85250,951
250173424001,51660,2475
250173546001,67083,2318
250173546003,75982,1162
250173546002,125063,702
250173546004,78826,712
250259807001,,4
250251602003,52880,1185
250251602001,50549,1580
250173702021,73000,807
250173702023,107000,901
250173702022,98409,923
250173702024,115313,1605
250251707011,45263,718
250251707012,35156,1311
250173421012,71217,986
250251104012,59671,1955
250251104011,48913,2072
250173563004,78958,756
250173563005,86413,875
250173563006,86953,435
250173563002,62115,998
250251606025,49131,952
250251606024,14521,1107
250251606021,67569,1226
250251606023,52593,575
250251606022,78659,947
250250503001,34205,438
250173421024,19000,809
250173421023,28967,1247
250250814002,44929,801
250250814001,44107,855
