Id,Median,Total
170318109003,53688,739
170312311001,26750,1039
170315607001,69940,1539
170311005002,76250,697
170311005003,62917,692
170318147004,45313,1136
170311005001,79904,1075
170318147002,74741,1579
170318147003,90956,1261
170311005004,92284,1076
170311005005,58306,1622
170318206053,38838,1575
170312605001,28750,1816
170310106004,32113,1148
170310106001,45032,3091
170310106003,44545,1723
170310106002,75813,984
170311604003,44940,1189
170311604002,47375,1422
170311604001,33514,2481
170318201044,55608,1018
170312610001,34238,1400
170312610002,29583,1267
170317708002,46625,3718
170317708001,47778,2144
170311508002,34922,818
170311508003,48125,1302
170311508001,65987,710
170311508004,63469,1567
170311508005,71377,873
170315611005,94315,1143
170315611004,72574,1350
170315611006,123125,873
170315611001,48000,780
170315611002,73393,866
170310319002,80081,1233
170311408005,78983,3208
170310513002,123250,1408
170310513001,122778,1322
170311408001,47946,839
170311408003,90625,1269
170311408002,88849,922
170310207011,78889,753
170310207012,80147,1167
170318174002,82656,1287
170318094002,46357,1457
170310307022,52321,675
170310307021,56250,863
170311605022,46892,1909
170311605023,52393,1580
170311605021,51250,1110
170318174003,48566,2003
170318119001,82000,756
170318119003,204500,1476
170318098001,89327,849
170318173001,31914,2525
170318098002,62829,2233
170312428001,59185,1547
170318147005,38056,1179
170318147001,51542,1086
170319900000,,0
170318206052,44231,1608
170318206051,45536,1110
170312510001,30789,1210
170318157024,46369,743
170311406011,43452,3287
170318205024,43220,1178
170310407001,54615,850
170310407003,60139,751
170310407002,100375,835
170310713001,90063,1660
170310407004,82292,732
170318127002,89076,913
170310713002,78125,1896
170318205022,65638,885
170312420001,58654,1406
170312420002,49063,1404
170312420003,50357,1234
170311402002,33281,1434
170318329002,50236,845
170311402001,40972,2345
170318237042,74444,1657
170318237043,55960,1267
170310819001,99250,1297
170318188002,71422,679
170318188001,69333,1038
170318241141,101905,3613
170318149004,56010,1717
170318149001,56406,967
170318149002,45859,1459
170310102012,38026,4701
170310102013,43542,825
170310102011,65854,1790
170318142005,37333,942
170318142004,26615,965
170318142006,29981,1286
170318142003,36656,1190
170318142002,46917,510
170317709021,44231,1614
170312522023,27778,999
170312522022,9750,747
170312522021,34653,1221
170312435002,106288,1981
170312522025,38333,792
170312435001,57600,1187
170318371001,12750,700
170318326002,103438,1142
170310611001,88289,1253
170311607005,32127,1002
170311909001,42019,2154
170318374001,33289,829
170316406001,39464,1081
170316406002,58304,1215
170316406003,44375,1827
170310514002,65938,854
170318112005,63692,842
170310514001,99875,1519
170318112001,47558,950
170318112003,85192,995
170318378002,37569,1214
170318085003,100167,1061
170310501001,85642,900
170310501002,71528,1658
170318171013,31193,1289
170318103021,60313,1441
170311001004,113382,783
170311001005,90636,1465
170311001002,67131,1953
170311001003,68661,777
170318107013,40000,1205
170311001001,55068,1011
170318097003,73984,757
170318055021,99688,1024
170312601001,15515,1152
170318055023,87083,1069
170318055024,83938,867
170318206061,65640,1169
170318105024,46071,816
170318193003,70208,714
170318193002,70556,1099
170318378001,67813,2217
170315611003,62581,797
170318105025,75602,766
170318238032,55982,1063
170310718001,118850,2061
170310718002,127083,545
170318311002,35526,1347
170315603002,52500,1350
170315603001,62604,1847
170312832001,50050,1360
170312718001,29926,903
170318112004,44583,1090
170311901001,34432,2671
170310312004,20295,1388
170310312002,17917,1646
170310312003,8969,936
170310312001,16220,1353
170312912002,26250,1256
170312912001,17917,1061
170310307031,54817,780
170310307033,48887,1383
170310307032,15442,457
170310302003,160893,1064
170310302002,77212,1397
