Id,Median,Total
484391059022,23533,1995
484391109063,77667,2145
484391109061,56364,556
484391132172,59688,705
481130192111,70089,1366
481130141214,88684,2026
481130192112,53333,745
481130141212,79904,1600
481130141213,62083,899
481130141211,33355,931
484391045021,28068,2089
484391045022,26042,884
484391139172,67143,1485
484391139173,61313,1655
484391139171,51097,847
484391134055,73000,1581
484391134051,21591,1061
484391046042,30324,2172
481130192113,42500,1611
481130192114,51223,1129
481130096071,95625,1013
481130096073,77083,1554
481130096072,55772,1533
484971506022,65893,2833
480850317121,33772,883
480850317123,70958,911
480850317122,65060,1251
480850317124,51726,2053
480850316531,104141,1067
480850316533,74583,1701
480850316532,127857,1171
480850316535,45038,1380
480850316534,203636,998
481210216334,59318,452
481210216331,78542,1142
481210216333,106142,1675
481210216332,82738,1439
484391103024,28465,2205
484391103023,43438,811
484391103022,46250,1084
480850320101,65052,855
480850320103,73664,1498
480850320102,35822,2222
484391050082,56394,725
484391138161,120536,3307
481130137191,41086,2297
481130137192,113203,1464
480850316262,91959,1725
484391136341,176528,3194
484391136342,139904,1726
484391139271,87448,5538
481210217372,68707,2031
481210217373,51087,1247
481210217371,145709,876
484391134054,64776,1077
484391139273,105375,2884
481210217211,91063,1333
481210217212,98452,2408
484391139272,102649,1629
480850316494,228056,901
480850316492,75068,1341
480850316493,214306,1173
480850316491,69531,1219
481210216292,70403,1590
481210216291,210417,4306
484391002011,35085,2131
484391002012,38278,1739
484391002013,33203,1121
484391108081,116250,985
481210215182,111802,1910
484391139194,113690,1762
484391139195,73438,1259
484391139196,144643,1004
484391139191,85139,1441
484391139192,112667,1163
484391139193,95865,952
484391135094,37563,1236
484391135091,53917,1211
484391065123,72800,1058
484391065121,37464,2012
484391139212,39258,1664
481130096094,115357,458
481130096093,129659,957
481130096092,113750,687
481130096091,159792,869
481210203062,65264,5246
481210203061,58807,1247
484391102032,100000,2638
481210216353,51464,719
481210216352,35855,1894
481210216351,46781,1393
484391138104,56250,1131
484391001021,55647,862
484391001022,53125,1623
484391048031,33828,1193
484391048032,47596,679
484391048033,33586,1428
484391048034,50636,1030
484391048035,28323,2284
484391138122,111500,1854
484391041004,73631,450
484391041002,46406,1076
484391041003,64712,447
484391041001,37063,1163
484391142052,29448,933
480850316113,75357,1271
480850316112,52500,1134
480850316111,87583,961
481130192033,93365,892
484391044001,53269,987
484391047023,23500,806
484391139231,59738,1612
484391135142,28682,867
484391022014,97750,652
484391139232,61652,1440
484391109052,69628,2468
481210217391,33104,1604
481210217392,34938,2059
484391109051,65469,1090
484391104025,43250,1025
484391107013,50338,1392
484391054032,67625,1005
484391138121,77673,1566
480850316471,96458,825
480850316472,75561,2500
484391055112,68382,692
484391055114,31907,2363
484391005023,38295,2114
484391005024,22898,763
484391005025,42788,1023
484391131071,85625,1027
484391235002,13289,886
484391235001,27902,466
484391136191,31266,1552
484391136193,29962,1722
484391136192,42757,337
484391136194,74779,859
484391139252,72604,356
484971506021,66000,1653
484391142051,56528,1129
484391135182,33929,1800
484391109031,58580,973
484391109032,109211,640
484391138123,96250,2450
484391065102,79276,1665
484391101011,30333,2090
484391005022,36290,674
484391135181,47176,1644
481210216371,43393,1388
481210216373,32684,1723
481210216372,87188,1135
484391108073,66000,1414
484391108072,68929,987
484391108071,72955,883
484391108074,48189,2705
484391005026,28034,1691
484391140051,77911,1774
481130137262,65000,2863
481130137261,124295,615
484391107016,30956,1481
484391025004,25972,955
480850316131,91141,1560
480850316133,116827,1368
480850316132,135901,757
484391102042,47188,909
484391107032,52656,3075
484391107033,40256,1043
481130190311,106042,2777
484391103025,33194,538
484391103021,37353,939
484391137035,76016,1685
484391137034,60260,2195
484391137031,71182,1509
484391137033,88485,1006
484391137032,66131,3267
481130096112,39315,1017
481130096113,56136,1458
481130096111,51382,1059
481139800001,,0
480850316452,172841,986
484391109053,72083,1159
484391060021,40606,2114
484391060023,40513,1167
484391060022,43182,483
484391132142,65444,1661
484391055031,69073,658
484391055036,52414,2397
484391138162,170911,1963
480850316451,156696,1064
484391134044,75472,1551
484391133022,51300,1358
484391133021,39470,1537
484391109013,90673,1063
484391109014,77763,1154
484391065163,22313,2206
484391065162,21864,744
484391065161,21233,2312
481210216143,59038,1132
481210216144,95598,931
481130139022,41553,1271
481130139023,53510,1015
481130139021,43043,1128
481130139024,58618,647
484391108051,72868,1463
484391108053,66082,1258
481210217454,48705,1368
481210217453,67153,1090
481210217452,73352,1518
481210217451,37375,1276
481130137222,52500,1903
481130141191,99853,1234
481130141193,143083,1722
481130141192,91875,1120
484391139091,188924,2453
484391139093,205600,2425
484391139092,192250,1782
480850317091,64417,1804
480850317093,100551,1423
480850317092,114904,1382
484391052032,31250,1154
481130099001,28935,554
481130099002,46818,2149
484391052031,50717,854
484391230002,40625,1717
484391131042,44597,1712
484391131043,53125,994
484391131041,33469,643
484391137053,60734,1556
484391137052,65222,1045
484391231001,14024,850
484391216041,56579,889
484391216042,47679,1135
484391027001,62188,458
484391023013,26000,631
484391023012,30160,925
484391026023,47768,751
484391135131,72019,3164
484391026021,75521,1388
481130138032,62386,1159
481130138033,88047,693
481130138031,67143,1120
481130138036,46504,1049
481130138034,81328,591
481130138035,54911,1013
480850316431,135060,1011
480850316432,66875,1331
480850316433,52838,1921
481210216231,97757,2869
481210216232,56401,3200
481130141292,66763,1125
481130141291,100497,4192
481130144071,37154,2386
484391134085,33074,1750
484391134084,51071,1246
484391045051,30750,1561
484391134081,33269,844
484391134083,54130,1175
484391132064,17697,842
484391132061,57500,1216
484391132063,54744,1891
484391132062,67689,1885
484391055132,30242,1994
484391139281,74174,3040
484391139282,88097,3916
484391139283,92443,1819
484391136224,221607,786
484391136221,136354,2169
480850310014,40114,1424
484391052051,30023,468
484391052053,21538,1247
484391109011,65833,675
484391216011,150893,1020
484391065141,16543,409
484391065143,49602,1862
484391065144,40474,1409
481130207001,116765,1180
481130207002,49153,2243
481130207003,70963,1154
481210217471,114667,1266
481210217472,97552,2753
484391057031,69438,1692
484391057032,36991,1622
481130137111,54167,932
481130137112,35690,2132
484391043001,17477,997
484391043002,51765,1312
484391043003,29000,625
484391043004,15446,896
484391043005,56625,923
484391043006,157578,928
484391139073,149926,2539
484391139072,219265,2410
484391139071,126944,1665
481130144031,56250,1116
481130144033,42421,2004
481130144032,40301,779
484391131021,42500,1708
484391131022,58203,2266
484391131023,34904,929
481210217172,101382,912
484391139241,66667,3726
484391135171,77250,1359
484391216061,82361,1968
481130138051,16705,478
481130138052,63929,560
481130138053,27420,1918
484391137071,99464,1111
484391137073,107853,1493
484391137072,102826,2377
484391054043,105833,1611
481130096083,81991,1732
481130136181,64821,1415
481130136182,126094,1009
484391048041,37552,1308
481210216212,117917,2033
481210216211,125500,1802
484391055072,163667,1838
484391055073,169934,2407
484391055071,52948,2101
484391047022,47604,750
484391047021,21804,2021
484391055111,39147,1728
484391235003,17375,1075
484391038001,13955,1804
481130143113,118571,703
481130143112,76219,2272
481130143111,53551,1800
484391065033,33333,1421
484391230004,20746,1582
484391230001,205833,734
481130145012,66207,1532
484391108091,72500,318
484391108092,81176,1723
481210217411,38500,1205
484391055052,110163,533
484391057012,71098,962
484391057013,43141,1639
484391057011,61146,995
481130137131,30140,2111
484391110031,74805,1352
484391107011,32269,665
481130144053,31513,1268
481130144052,31767,1164
481130144051,56286,1109
484971506031,55750,736
484391132212,62421,2032
484391132213,64583,784
484971506033,65729,1255
484391132211,83750,2042
484971506032,64271,3030
484391137093,109420,966
484391004001,33667,1102
484391004003,35179,605
484391004002,29492,1021
484391004005,52325,2413
484391004004,32462,1417
484391004006,41579,1510
481210217522,120625,2173
481210217521,154216,2846
481210216271,69118,2178
481210216272,68750,1163
481210216273,63705,3270
484391135133,55268,889
484391038002,21020,1316
481130141341,146688,793
481130141342,114531,554
484391135191,60184,628
484391135192,94125,3931
484391135193,54238,1358
481130143122,52264,1571
484391136262,107417,1885
484391136261,87500,2190
484391139292,97280,2888
483671404052,60921,2805
484391052011,50865,484
484391052013,42841,1268
484391052012,22534,1751
484391052014,16889,1831
484391136222,92292,1429
484391139082,216715,1343
481210217431,51563,1594
481210217433,56058,701
481210217432,36310,934
481130144073,46765,1485
481130192032,81518,1090
481130192031,37656,1105
481130141132,82748,931
481130192034,71354,603
481130137151,56250,1445
481130137152,56250,942
484391136072,50919,1263
484391136073,60417,1191
484391136071,35000,1242
481130143092,30471,2039
481130143093,25396,2122
481130143091,25347,1028
484391216012,93173,2379
484391020001,76993,1047
484391137092,110250,2094
484391137091,121458,1976
484391026012,27263,1019
484391026011,33224,658
481130142051,133500,834
484391035003,27284,1975
481130142052,134875,658
481210216252,118125,1341
481210216251,121326,3042
484391138093,60313,1179
481130141362,65139,406
481130141363,50512,1161
481130141361,62818,1967
481130141364,68877,2125
484391028002,111518,768
484391028001,79205,659
484391135111,43553,1674
484391135112,77614,1562
484391135113,110114,1085
484391012011,148036,459
484391012012,34663,1154
484391132171,63750,1323
484391137112,94417,2250
484391141032,108897,2124
484391141033,105934,3520
480850316221,54684,2473
480850316223,111719,946
480850316222,111150,2178
484391046033,30417,1026
481130192051,107200,1223
481130192052,103672,996
481130192053,96477,1031
481130137172,50676,943
481130137171,53889,1686
484391141037,85490,3624
484391141038,118232,2281
481130143074,50208,1151
481130143075,71250,1086
481130143071,57443,553
481130143072,46555,717
481130143073,89712,636
