Id,Median,Total
482012409011,74219,2817
482014324002,32746,2219
482014324003,34951,2141
482014324001,30000,1206
483396926023,37663,2425
482015534022,108889,2462
482015534023,71445,1270
482015534021,58639,1854
482015534024,161422,1228
482015419001,54964,2270
481576725001,54954,2745
481576725003,72760,3241
481576725002,49000,1357
482012409012,56496,5696
482014521001,29482,1541
482015337021,50156,1281
482015430021,113155,7763
482015331002,17637,1781
482015110021,67022,1773
482015110022,51050,1772
482015110023,119706,929
482015430022,113913,3602
482012511002,93141,1246
482012511003,114447,2023
482012511001,84467,1836
482012511004,51288,764
482012511005,70060,1877
482015509001,62833,1921
482015509002,59607,3729
482015509003,32896,1522
482015509004,51417,2136
482014314022,88214,1437
483396925001,50214,863
483396925003,40048,1853
482015432003,46667,901
482015432002,54464,1832
482014517002,50139,808
482014517001,54787,2558
482015225002,161250,1161
482015114003,58633,1642
482015114001,95441,1010
482012404002,33929,3422
482012404001,64605,3597
482015526011,34719,5125
482014317001,210000,1800
482014317002,119120,1658
482014511001,64519,654
482014511002,56465,1782
482014312012,41384,2510
482015333003,34020,568
482015333002,21673,2817
482014534022,48875,1533
482015545023,122632,2734
482014314011,57880,1618
482015338021,23071,2109
482015338022,46094,2429
482015338023,50117,1839
482015221001,35357,1883
482012230021,49695,1417
482015410022,155963,1501
482015410021,74730,6975
482015504021,62083,3240
482015504023,72833,5008
482015504022,30936,1889
482012515031,98750,2144
482015222022,47588,1570
482015539003,150078,2454
482015539002,99545,1382
482015539001,126136,2378
482015539004,142258,1751
482014313022,92188,1649
482014313023,149583,898
482014313021,77353,1301
482014329012,52885,805
482014329011,32978,2442
482012408021,45301,1849
482012408022,43302,1677
482014509001,146944,916
482015307001,36705,1576
482015307002,29038,3111
482015307003,21286,1217
482012227002,6454,1408
482012227001,22554,3691
482015215002,42969,976
482015215003,33750,1277
482015224014,38704,1667
482014115013,74447,1429
482015342021,71556,1852
482015342023,159196,1254
482015342022,56351,3782
482015342024,74375,1564
482014212021,21429,1425
481576746033,72348,2607
481576746032,61205,1933
481576746031,121125,1191
482015337022,34909,2175
482015334001,26389,1647
483396916022,87068,2248
482012514021,66417,2699
482015225003,170071,1447
483396925004,38576,4295
482012226001,22333,2432
482012226002,14774,2392
482014523001,45588,2607
482012515011,123586,5570
482015517015,127656,1144
482015517016,74451,2093
482014332012,55197,1728
482014332013,33750,1295
482014332011,31548,1703
482014230001,37845,2756
482012214002,30391,2694
482014230003,36848,1719
482012214001,43188,1347
482014516021,77313,3008
482015218002,50893,2939
482015516001,42897,3433
482015416024,77313,3255
482012210001,28468,1424
482012210002,31648,1799
482014225001,24681,1729
482015339012,61146,1552
482015210001,38389,2144
481576746011,166250,2665
481576746012,72434,1125
482015401003,67059,1577
482015401002,142379,2892
482015401001,129278,7294
482015416023,73052,3015
482015421022,61500,9473
482015416022,54924,1941
482014319002,80118,2707
482014319001,95571,490
482012209002,29444,1016
482015549022,113958,2162
482015549021,83250,4563
482015315003,72586,1468
482015113011,27465,1022
481576722001,87361,2389
481576722002,34259,805
482015315002,39432,754
482014532002,22431,2740
481576727011,65162,4689
481576727012,64889,8238
