Id,Median,Total
060374631021,56389,1687
060374631022,172031,1196
060374631023,67763,910
060375352003,47543,1767
060375352002,30296,1956
060375352001,35104,2102
060371912031,33140,1702
060371912032,21333,897
060376200013,96571,1836
060376200012,85850,974
060376200011,99205,1047
060372123061,27361,1578
060372123062,30124,1800
060375421062,29519,1281
060375421063,34010,562
060375421061,41042,1384
060372181201,29007,2766
060372181202,21463,1060
060372181203,43198,1016
060375328001,40625,2152
060374813001,53561,1832
060372084011,24717,2294
060371012102,44650,3601
060371012101,39186,3003
060374635002,91897,1766
060374635003,54888,2093
060374635001,64521,2099
060371283032,36417,2183
060371283031,26773,1348
060375319011,35774,1979
060375319013,44931,2252
060375319012,27150,1401
060375319014,60404,1423
060371917101,35300,932
060374825031,45238,2147
060374825032,51910,2367
060375338042,40529,2597
060375338041,35514,1518
060372641021,81512,2974
060371254011,44548,2071
060371254012,58519,1614
060374083021,70741,3750
060374012021,82344,1317
060375717012,71354,1441
060374012023,66406,2331
060374012022,93929,1103
060374809031,60347,2904
060375505001,63079,1470
060375505003,80500,1162
060375505002,57734,1921
060375505005,187019,1593
060375505004,136500,533
060375505006,69196,929
060371253102,31000,647
060371253103,41857,2358
060371253101,34883,1298
060373107031,53214,2664
060373107032,56053,2819
060371278031,27313,1461
060371278032,36815,2276
060374821012,63409,1611
060374821013,61632,2291
060374821011,49625,1081
060372377202,20854,2753
060372377201,31563,636
060376704051,104333,2984
060375403004,26553,1521
060375403001,62440,1175
060375403002,45952,1670
060375403003,40685,811
060375331071,71118,1044
060375331072,33080,2624
060372199021,36992,2133
060372199023,42411,951
060372199022,39583,933
060372284202,30202,2191
060371918203,33750,721
060372284201,19653,749
060372396022,36524,1752
060372396021,25893,1834
060379800051,,0
060378003321,122500,972
060378003324,146957,1291
060375402011,19773,1253
060375402012,27188,767
060375335012,40117,1314
060375335011,35563,1890
060372124102,31534,2689
060372124101,50333,1471
060372941103,78155,915
060372941102,56172,1986
060372941101,63750,1832
060374019021,89833,977
060374019022,59375,2103
060374019024,97875,1500
060371864032,43964,2051
060371864031,40083,1019
060375506013,72321,1402
060375506012,75263,978
060375506011,61250,2457
060710008171,150313,927
060375506014,35658,696
060372739025,106741,364
060372739024,139688,1236
060372739021,84231,799
060372739023,81125,782
060372739022,62230,671
060374614003,100510,881
060374614002,64483,843
060374614001,50744,1628
060371341011,69102,3248
060371341012,72782,2772
060372317102,23611,1631
060372317103,21196,1959
060372317101,37838,1154
060371132111,98309,1531
060371132112,90927,2554
060372117012,99219,1326
060372117013,40673,777
060372117011,39235,1047
060374082111,54875,1805
060374021021,58750,1985
060374024062,70195,2709
060375522002,41620,3021
