Id,Median,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
360010001001,39145,439,110,19,19,30,8,7,33,18,83,50,5,38,9,5,5,0
360010001002,31506,361,11,28,50,13,52,44,11,0,13,23,9,31,37,35,4,0
360010002001,16047,1195,196,368,120,96,63,25,0,36,0,110,125,27,15,14,0,0
360010002002,35429,384,61,23,47,0,55,0,35,13,33,0,32,33,39,0,0,13
360010002003,28883,403,89,38,0,0,108,15,0,0,27,7,28,0,0,56,35,0
360010002004,18510,227,67,36,26,30,0,0,0,0,22,31,15,0,0,0,0,0
360010003001,50881,623,129,0,12,26,0,27,30,38,34,91,60,90,61,25,0,0
360010003002,24425,484,85,18,52,113,81,0,0,0,0,0,91,44,0,0,0,0
360010003003,43836,702,56,48,89,47,14,21,25,78,11,28,126,53,11,27,18,50
360010003004,14299,646,182,164,8,0,15,15,74,0,33,7,68,7,43,0,30,0
360010004011,71921,1023,28,0,33,32,45,82,54,21,63,34,174,148,152,53,79,25
360010004031,51339,575,91,0,15,31,64,31,16,0,17,82,47,69,71,19,22,0
360010004032,61985,683,31,65,0,0,40,19,19,141,13,0,78,172,66,25,14,0
360010004033,48971,376,0,101,60,0,0,17,0,0,17,21,49,57,44,0,10,0
360010004034,42255,626,15,107,95,16,0,18,16,51,0,18,18,67,114,19,59,13
360010004041,-,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
360010005011,21205,588,136,29,102,88,99,25,16,13,10,0,61,0,9,0,0,0
360010005012,31908,240,43,0,9,14,25,63,0,0,23,0,21,31,0,11,0,0
360010005013,39883,349,38,0,54,0,0,10,74,23,7,59,45,14,11,0,14,0
360010005014,25417,449,136,64,22,0,31,0,10,23,12,14,23,50,55,0,0,9
360010005021,19375,95,27,13,10,0,0,0,0,2,6,28,0,9,0,0,0,0
360010005022,46635,769,85,4,46,39,60,14,81,47,40,114,41,140,21,5,0,32
360010006001,14254,154,37,57,0,29,0,0,0,16,0,0,9,6,0,0,0,0
360010006002,21266,326,18,60,46,89,9,0,0,0,29,28,0,24,6,0,7,10
360010006003,18656,919,168,150,170,83,41,91,33,0,17,39,45,31,0,18,33,0
360010007001,36591,438,20,20,17,54,19,75,22,0,7,98,22,57,27,0,0,0
360010007002,25385,206,59,24,11,7,19,20,0,15,0,13,0,28,0,10,0,0
360010007003,40139,390,9,16,48,22,27,72,0,39,12,41,20,65,6,0,13,0
360010007004,11446,341,141,51,30,9,44,7,0,15,0,0,0,44,0,0,0,0
360010008001,24028,131,59,0,0,10,32,0,0,16,4,0,0,0,10,0,0,0
360010008002,20515,469,94,77,60,43,20,38,20,7,25,23,0,5,32,25,0,0
360010008003,21406,235,106,0,7,40,22,0,0,24,0,0,16,0,11,0,0,9
360010011001,12452,674,235,128,25,82,34,5,60,13,14,16,22,0,9,0,31,0
360010014001,42862,1014,66,47,116,167,0,54,46,76,29,40,115,97,16,102,43,0
360010014002,35045,910,105,44,126,57,48,74,76,73,0,31,57,101,40,15,28,35
360010014003,18472,327,54,73,53,12,0,64,14,21,0,16,0,0,0,20,0,0
360010015001,20524,872,150,123,150,62,99,14,15,14,0,123,53,52,0,0,0,17
360010015002,53889,416,87,26,0,50,15,0,0,0,0,118,67,14,24,0,15,0
360010015003,27137,437,90,65,37,0,31,49,0,0,14,22,31,14,59,9,16,0
360010015004,59453,339,14,24,16,0,0,15,79,0,0,25,30,49,14,73,0,0
360010016001,25125,402,102,49,49,0,20,27,30,0,12,11,61,7,7,0,27,0
360010016002,28438,334,67,45,0,52,8,0,9,12,9,0,28,24,31,0,31,18
360010016003,54688,373,0,37,9,21,21,26,0,9,19,59,19,68,31,9,28,17
360010016004,59676,421,14,0,23,47,30,22,0,24,10,44,46,85,21,23,17,15
360010017001,53954,449,72,31,15,9,10,18,23,0,18,65,27,31,51,15,33,31
360010017002,79688,603,10,0,20,11,52,22,19,49,0,27,81,99,122,34,57,0
360010017003,67875,577,9,22,33,55,19,51,23,11,12,10,65,104,103,22,10,28
360010017004,94219,300,12,0,35,0,8,0,7,0,18,29,9,37,24,38,37,46
360010018011,84333,342,13,0,0,13,0,11,37,10,19,57,0,58,10,61,37,16
360010018012,64236,786,50,0,15,56,55,26,30,0,10,116,76,75,128,55,51,43
360010018013,71333,704,31,24,0,44,57,21,90,12,0,11,81,91,77,33,90,42
360010018014,68977,449,0,55,0,0,48,0,18,38,14,16,40,62,112,34,12,0
360010018015,62634,1089,115,31,55,37,55,33,0,24,24,103,123,223,48,95,100,23
360010018021,59898,553,42,8,0,19,34,19,25,53,18,61,106,121,0,47,0,0
360010018022,45743,790,79,122,69,14,29,23,30,18,44,52,51,98,89,52,10,10
360010018023,71797,220,16,0,16,14,0,8,0,0,0,22,43,31,44,0,26,0
360010018024,38261,466,8,39,10,89,11,45,47,10,21,34,41,69,42,0,0,0
360010019011,101389,242,0,0,0,18,30,0,0,7,9,9,8,35,81,37,0,8
360010019012,35605,381,75,0,42,41,0,25,38,23,0,28,34,35,18,14,8,0
360010019013,95733,511,9,0,0,0,11,46,20,8,7,27,77,71,74,78,63,20
360010019021,91607,342,0,13,0,0,10,10,9,10,0,35,66,67,54,31,24,13
360010019022,90037,417,0,23,0,20,0,12,11,31,11,21,28,132,38,55,13,22
360010019023,60978,456,12,37,15,33,12,0,20,9,28,53,101,71,26,18,21,0
360010020001,55174,642,48,0,0,16,0,61,52,110,0,74,87,90,15,40,49,0
360010020002,62083,453,0,7,29,67,0,11,16,0,19,60,98,2,34,110,0,0
360010020003,41463,322,0,55,15,0,16,13,38,41,0,76,34,19,15,0,0,0
360010020004,53713,357,7,0,0,0,29,90,29,0,7,76,17,45,20,19,17,1
360010020005,59091,574,0,87,7,9,0,76,0,16,35,73,114,85,47,14,11,0
360010021001,30197,511,71,77,52,0,51,65,9,59,0,31,62,17,0,0,9,8
360010021002,18445,173,59,6,47,0,23,0,0,0,0,9,15,0,14,0,0,0
360010021003,36771,251,17,8,45,0,13,0,60,0,17,9,15,39,20,0,8,0
360010022001,35667,768,80,119,32,51,59,35,65,38,13,56,51,56,49,6,39,19
360010022002,41875,629,57,18,42,79,17,49,33,37,16,155,57,36,33,0,0,0
360010023001,21574,478,73,105,44,27,83,11,37,0,0,32,33,28,5,0,0,0
360010023002,32750,472,45,11,12,112,55,10,23,8,18,30,54,69,9,4,0,12
360010025001,16326,467,136,80,77,52,8,0,17,0,0,26,36,21,5,0,9,0
360010025002,19931,200,59,6,36,9,0,30,0,9,0,0,20,21,10,0,0,0
360010025003,28750,262,52,4,43,0,32,57,27,10,0,20,0,10,0,0,7,0
360010025004,55515,135,29,0,19,0,2,0,12,0,2,17,9,0,45,0,0,0
360010025005,17169,153,17,30,60,0,8,12,0,4,14,8,0,0,0,0,0,0
360010026001,42369,569,0,10,0,100,0,83,10,86,45,55,32,148,0,0,0,0
360010026002,55240,325,49,34,27,0,23,0,27,0,0,49,116,0,0,0,0,0
360010026003,26746,616,58,92,40,74,63,14,59,58,38,59,0,28,0,33,0,0
360010026004,41626,466,0,35,0,38,0,34,46,140,0,11,0,71,15,28,23,25
360010127001,56813,539,0,0,24,40,5,32,11,74,19,81,59,101,51,26,11,5
360010127002,62361,321,10,10,26,0,11,23,31,32,0,9,55,33,42,26,13,0
360010127003,44063,311,40,13,0,26,28,25,11,20,29,74,14,25,6,0,0,0
360010128001,34342,328,62,38,11,0,10,48,9,29,12,47,56,0,0,6,0,0
360010128002,68977,319,10,8,7,19,0,36,8,32,0,22,67,42,34,19,15,0
360010128003,31528,487,38,79,30,38,53,39,35,37,47,12,32,16,16,15,0,0
360010128004,25733,450,92,42,74,0,65,40,0,23,16,18,59,12,9,0,0,0
360010129001,32148,529,46,8,100,51,32,47,9,7,0,70,44,37,33,27,6,12
360010129002,18173,400,68,89,81,36,51,6,32,0,10,8,19,0,0,0,0,0
360010129003,18043,280,54,30,74,7,0,0,15,47,15,10,0,28,0,0,0,0
360010129004,33220,355,29,18,24,49,48,33,62,0,6,41,7,31,7,0,0,0
360010130001,62639,344,30,15,0,17,0,48,16,0,0,45,32,29,67,24,9,12
360010130002,64833,750,17,58,16,0,31,17,47,12,15,112,163,81,0,117,27,37
360010130003,45380,457,29,0,0,21,0,17,0,158,23,74,0,83,22,17,13,0
360010130004,44589,696,47,24,32,28,53,17,0,160,34,44,112,30,22,13,31,49
360010130005,46569,780,43,16,62,67,49,20,53,48,51,91,59,80,64,77,0,0
360010131001,60000,366,37,6,17,11,0,33,9,25,24,21,89,39,15,14,19,7
360010131002,51477,337,12,20,8,23,7,31,5,13,43,18,44,49,28,14,22,0
360010131003,41518,323,6,48,28,6,7,43,15,14,0,19,38,62,8,0,21,8
360010132001,37750,298,7,15,19,30,38,29,38,11,37,0,31,9,26,0,0,8
360010132002,19506,397,117,26,64,52,0,0,41,7,21,10,20,9,30,0,0,0
360010132003,55428,201,14,0,0,0,23,9,7,0,41,38,33,36,0,0,0,0
360010132004,55938,338,14,0,0,78,6,10,6,0,49,16,13,105,33,8,0,0
360010132005,28712,541,63,76,57,43,65,41,17,7,22,34,33,71,0,12,0,0
360010133001,43627,376,30,0,82,13,0,29,11,51,44,10,18,88,0,0,0,0
360010133002,65114,410,10,16,52,7,19,73,10,0,0,0,72,105,12,24,0,10
360010133003,51225,882,64,34,36,69,22,40,43,81,27,153,147,76,44,14,32,0
360010133004,50938,392,0,16,23,12,27,27,63,19,0,66,14,66,59,0,0,0
360010134001,39044,213,20,11,11,12,21,21,17,15,0,19,18,33,0,0,14,1
360010134002,52083,383,28,8,23,8,8,12,20,10,57,50,46,2,89,9,10,3
360010134003,37993,429,10,0,65,12,24,86,48,19,0,19,23,28,23,57,15,0
360010135031,110688,339,0,0,0,17,0,0,0,8,11,17,39,67,56,33,63,28
360010135032,78250,490,0,10,28,46,19,7,10,8,4,48,51,92,77,36,30,24
360010135033,52245,1003,26,40,64,50,67,98,37,43,28,186,61,23,90,54,102,34
360010135051,84531,311,0,9,7,0,8,8,17,0,14,50,15,105,38,15,18,7
