Id,Median,Total
36001000100,35900,1102
36001000200,20665,1061
36001000300,35951,2828
36001000401,71921,764
36001000403,50952,1365
36001000404,0,378
36001000501,26711,1242
36001000502,45526,1825
36001000600,19836,1278
36001000700,30851,1732
36001000800,21394,2380
36001001100,12452,1283
36001001400,34052,1441
36001001500,29823,755
36001001600,46579,859
36001001700,70586,4932
36001001801,64737,1320
36001001802,51917,547
36001001901,69630,662
36001001902,73875,1083
36001002000,54601,2173
36001002100,29866,1548
36001002200,38621,494
36001002300,26983,1200
36001002500,19258,2662
36001002600,40783,1187
36001012700,53113,448
36001012800,33825,1095
36001012900,25776,1014
36001013000,54007,387
36001013100,52292,1203
36001013200,34678,596
36001013300,48864,1249
36001013400,45224,1528
36001013503,64500,1251
36001013505,68021,393
36001013506,69167,1423
36001013507,81591,1144
36001013508,87143,1042
36001013601,73783,842
36001013602,60761,1118
36001013703,99250,788
36001013705,69201,914
36001013706,111250,994
36001013707,90688,996
36001013801,66827,1611
36001013802,94167,1563
36001013901,69345,637
36001013902,78300,869
36001014001,54127,1626
36001014002,60511,1574
36001014100,86066,884
36001014201,82418,2246
36001014202,99813,1075
36001014203,95175,1581
36001014301,68482,610
36001014302,96179,909
36001014401,57250,656
36001014402,56466,755
36001014501,86204,1274
36001014502,68656,790
36001014503,79375,909
36001014606,78368,920
36001014607,89970,1909
36001014608,81875,1437
36001014609,66066,776
36001014611,89333,838
36001014612,79643,1234
36001014613,78800,1053
36001014614,91042,1296
36001014615,61858,654
36001014700,65313,1116
36001014801,61905,1341
36001014802,52143,753
36001014803,68972,1033
36003940200,0,741
36003950100,43906,307
36003950300,43724,688
36003950400,43909,401
36003950500,47286,293
36003950600,38285,1714
36003950700,41419,841
36003950800,47692,1479
36003950900,43520,1223
36003951000,38285,976
36003951100,41535,618
36003951200,41742,568
36003951300,43306,575
36005000100,0,745
36005000200,69514,1224
36005000400,73036,993
36005001600,30817,1274
36005001900,33862,656
36005002000,19150,419
36005002300,13902,792
36005002400,0,907
36005002500,14628,2128
36005002701,26094,861
36005002702,19237,1572
36005002800,48717,1872
36005003100,28047,1011
36005003300,20852,817
36005003500,24321,781
36005003700,34000,619
36005003800,36250,779
36005003900,25513,464
36005004001,46809,824
36005004100,18021,976
36005004200,27868,743
36005004300,22359,965
36005004400,21033,1852
36005004600,31250,832
36005004800,24683,453
36005005001,30106,831
36005005002,32788,911
36005005100,21423,986
36005005200,17106,1323
36005005300,15087,2232
36005005400,29583,732
36005005600,26000,1801
36005005902,35488,3215
36005006000,40586,1531
36005006100,43950,1766
36005006200,25500,2195
36005006300,31830,584
36005006400,36446,2076
36005006500,21640,1823
36005006700,19079,2754
36005006800,30969,968
36005006900,17460,1483
36005007000,36852,1392
36005007100,40682,3885
36005007200,42193,1899
36005007300,22254,1095
36005007400,43696,1317
36005007500,21723,1798
36005007600,41754,2739
36005007700,27250,1365
36005007800,32060,2165
36005007900,25244,1440
36005008300,18441,1242
36005008400,54219,2248
36005008500,23882,2512
36005008600,20069,1896
36005008700,28725,1512
36005008900,18794,605
36005009000,27910,2194
36005009200,30845,527
36005009300,30783,619
36005009600,41786,870
36005009800,52500,1812
36005011000,46417,532
36005011502,21016,2006
36005011700,19022,601
36005011800,73508,1620
36005011900,23838,888
36005012101,35147,1615
36005012102,17028,1729
36005012300,20966,1114
36005012500,26276,2499
36005012701,21589,2893
36005012901,14301,452
36005013000,68512,626
36005013100,28594,966
36005013200,91968,1829
36005013300,22012,1079
36005013500,20171,858
36005013800,70774,1402
36005014100,30850,1487
36005014300,10114,1865
36005014400,21964,727
36005014500,20621,1611
36005014701,21106,1002
36005014702,17940,2159
36005014900,23491,1149
36005015100,29031,1244
36005015200,58125,1215
36005015300,21521,2303
36005015500,26698,1151
36005015700,26250,1646
36005015800,55556,1370
36005015900,17281,690
36005016000,85104,741
36005016100,16889,1262
36005016200,67778,1090
36005016300,0,1786
36005016400,77344,3273
36005016500,25164,737
36005016600,70081,1747
36005016700,32386,2278
36005016900,33899,1102
36005017100,0,1748
36005017300,22699,1314
36005017500,17825,1601
36005017701,26224,1666
36005017702,20554,1821
36005017901,20647,427
36005017902,27088,914
36005018101,26694,1576
36005018102,38561,1168
36005018301,34500,1450
36005018302,47167,1352
36005018400,76477,775
36005018500,23034,915
36005018900,22875,1896
36005019300,20297,719
36005019400,51309,1876
36005019500,32051,2366
36005019700,27898,1872
36005019900,26187,1228
36005020000,34955,2503
36005020100,30848,1932
36005020200,39259,802
36005020400,50815,1607
36005020501,26316,2326
36005020502,25000,693
36005020601,53125,1186
36005020900,29508,1522
36005021001,48010,700
36005021002,47353,1537
36005021100,24066,844
36005021200,54293,1396
36005021301,22734,816
36005021302,26152,1487
36005021501,30864,1773
36005021502,19421,2628
36005021601,22818,1033
36005021602,44420,1596
36005021700,20747,2224
36005021800,33302,575
36005021900,30952,418
36005022000,13350,703
36005022101,27058,800
36005022102,18241,1538
36005022200,45000,1831
36005022300,31604,9
36005022401,40184,1522
36005022403,34818,404
36005022404,41458,706
36005022500,32043,1281
36005022701,32079,1228
36005022702,42955,2260
36005022703,42500,1457
36005022800,45000,716
36005022901,23494,1457
36005022902,24750,1180
36005023000,51411,929
36005023100,28987,942
36005023200,48125,560
36005023301,27691,2140
36005023302,18569,736
36005023501,33869,988
36005023502,23209,969
36005023600,39306,1539
36005023702,14231,1082
36005023703,28641,1085
36005023704,19076,2748
36005023800,56283,2629
36005023900,21464,1101
36005024000,34544,832
36005024100,20659,1296
36005024300,21328,611
36005024400,67471,1299
36005024501,25922,1266
36005024502,26014,755
36005024600,69013,1013
36005024700,39919,634
36005024800,66918,1359
36005024900,0,1050
36005025000,52134,624
36005025100,31541,975
36005025200,49944,926
36005025300,30908,818
36005025400,42177,744
36005025500,20000,733
36005025600,42337,791
36005025700,30485,911
36005026100,64810,824
36005026300,28976,1489
36005026400,73720,0
36005026500,37719,9191
36005026601,51938,0
36005026602,46174,1303
36005026701,32599,1770
36005026702,32525,1785
36005026900,31336,0
36005027300,45370,820
36005027401,69138,1344
36005027402,68511,2669
36005027600,57222,511
36005027700,30750,2199
36005027900,47227,767
36005028100,57604,805
36005028300,45485,1444
36005028400,113750,0
36005028500,49879,1446
36005028600,51538,112
36005028700,46875,1004
36005028800,57460,0
36005028900,55281,0
36005029301,101700,906
36005029302,91180,1718
36005029500,94457,2649
36005029600,45357,1588
36005029700,90909,766
36005030000,48485,829
36005030100,81685,2274
36005030200,51384,733
36005030701,92361,1665
36005030900,82169,0
36005031000,113914,0
36005031200,62596,886
36005031400,80417,1589
36005031600,59886,1341
36005031800,55000,780
36005031900,0,512
36005032300,76217,1665
36005032400,28139,1507
36005032600,73158,1551
36005032800,31644,926
36005033000,39735,1484
36005033201,45686,762
36005033202,39500,0
36005033400,45270,1504
36005033500,85972,1623
36005033600,31594,1345
36005033700,77500,1332
36005033800,43059,1272
36005034000,37864,559
36005034200,42863,1848
36005034300,68993,1578
36005034400,88313,765
36005034500,60568,1621
36005034800,36294,1390
36005035000,61500,242
36005035100,70625,1291
36005035600,86199,1433
36005035800,61407,1561
36005035900,20750,600
36005036000,83816,1042
36005036100,16041,1413
36005036300,21350,1470
36005036400,45815,1873
36005036501,21875,2027
36005036502,16974,18
36005036700,21017,2300
36005036800,62171,577
36005036901,13594,3647
36005036902,30850,1021
36005037000,63789,673
36005037100,19467,646
36005037200,51571,0
36005037300,29606,865
36005037400,22500,1305
36005037504,20313,1571
36005037600,49566,1475
36005037800,42326,983
36005037900,22917,1233
36005038000,33077,587
36005038100,26038,1909
36005038200,41990,1051
36005038301,24412,1605
36005038302,20108,1648
36005038500,19857,2234
36005038600,49854,1790
36005038700,24286,1166
36005038800,47619,1135
36005038900,26171,691
36005039000,35037,1888
36005039100,24193,932
36005039200,32386,1301
36005039300,16949,1523
36005039400,39157,461
36005039500,26250,2670
36005039600,28103,2727
36005039700,19015,565
36005039800,58892,1420
36005039901,26509,1356
36005039902,27375,1652
36005040100,36786,842
36005040302,20492,3138
36005040303,35889,940
36005040304,37000,1132
36005040400,40793,785
36005040501,29293,809
36005040502,19358,789
36005040600,40039,1075
36005040701,29479,1774
36005040702,27290,1255
36005040800,31687,606
36005040900,49614,3183
36005041100,31371,0
36005041300,33033,1488
36005041400,52577,2436
36005041500,35086,1469
36005041800,38165,1376
36005041900,36344,896
36005042000,29886,0
36005042100,50816,329
36005042200,51312,721
36005042300,33700,1013
36005042400,50625,1060
36005042500,32382,1896
36005042600,65909,1812
36005042800,66971,637
36005042901,38100,887
36005042902,28149,681
36005043000,50100,1271
36005043100,31841,3374
36005043400,37601,745
36005043500,0,344
36005043600,53750,1361
36005044200,40068,1253
36005044400,61526,1348
36005044800,84875,1951
36005044901,63750,821
36005044902,71154,1078
36005045101,69861,1726
36005045102,72569,416
36005045600,65500,842
36005045800,20691,2773
36005046000,39448,1727
36005046201,43495,1283
36005046202,32461,1581
36005048400,68370,2757
36005050400,0,895
36005051600,70027,1142
36007000100,30820,951
36007000200,25042,1365
36007000300,30613,2044
36007000400,36694,2318
36007000500,21713,771
36007000600,31328,852
36007000700,41713,1065
36007000900,29900,970
36007001100,15857,1561
36007001200,11682,1548
36007001300,15361,1109
36007001400,29268,1206
36007001500,53886,1325
36007001600,53896,1677
36007001700,32434,1093
36007001800,32026,571
36007010200,58254,743
36007011901,52045,1248
36007011902,51042,886
36007011903,53438,1434
36007012000,45446,1371
36007012101,53726,1866
36007012102,71441,1701
36007012103,54844,2579
36007012201,60263,1606
36007012202,46444,907
36007012300,47899,1769
36007012400,42060,635
36007012500,51370,854
36007012600,51894,1132
36007012701,53512,496
36007012702,70500,1242
36007012800,51406,788
36007012900,46618,403
36007013000,65714,1377
36007013100,41270,1424
36007013201,48542,1134
36007013202,52212,626
36007013301,51304,866
36007013303,64952,1575
36007013304,73571,661
36007013400,36406,2254
36007013500,22699,1032
36007013600,32500,735
36007013700,33511,1264
36007013800,36783,987
36007013900,31563,1426
36007014000,22230,1145
36007014100,43040,1429
36007014200,52195,1685
36007014301,64858,834
36007014302,55339,931
36007014400,58984,1399
36007014500,61136,2259
36007014600,67168,1175
36009940000,18750,0
36009940200,0,0
36009940300,30483,167
36009960100,42520,638
36009960200,34769,936
36009960300,49468,2317
36009960400,47471,636
36009960500,43192,732
36009960600,44926,1605
36009960702,44450,1103
36009960800,39279,1179
36009961000,44191,0
36009961100,53400,39
36009961200,51622,1117
36009961300,47007,1505
36009961400,44211,1887
36009961500,50932,1125
36009961600,38638,771
36009961700,35193,1850
36009961800,48778,710
36009962200,43875,1043
36011040100,45597,435
36011040200,59069,646
36011040300,48092,898
36011040400,54564,1883
36011040500,60194,0
36011040600,67961,140
36011040700,76468,0
36011040800,58750,2236
36011040900,55036,1436
36011041000,62010,862
36011041100,70968,0
36011041200,56858,1541
36011041300,36936,0
36011041400,37739,0
36011041500,46875,2316
36011041600,61681,1242
36011041700,41737,1581
36011041800,36096,2272
36011042100,24486,1287
36011990200,0,543
36013030100,26739,596
36013030200,30844,1019
36013030300,25208,1470
36013030400,36734,1669
36013030500,13693,1536
36013030600,33912,1437
36013030700,42794,983
36013030800,43627,1387
36013035100,45663,2355
36013035300,58023,1662
36013035400,26237,1333
36013035500,43415,933
36013035600,41012,1384
36013035700,42250,2294
36013035800,37826,1089
36013035901,51234,932
36013035902,22750,2249
36013036000,50033,1883
36013036100,48725,0
36013036300,39599,1189
36013036401,50682,1407
36013036402,50921,1886
36013036500,40536,1764
36013036600,41923,1154
36013036700,45326,1781
36013036800,48884,1813
36013036901,49671,1372
36013036902,56019,1546
36013037000,53240,955
36013037100,49301,1488
36013037200,51683,1085
36013037300,45735,0
36013037400,47147,1811
36013037500,48750,1229
36013037600,50122,928
36013990000,0,1056
36015000100,26076,1791
36015000200,32411,769
36015000300,0,228
36015000400,48320,1018
36015000500,48594,1102
36015000600,22134,1233
36015000700,15700,1448
36015000900,42358,628
36015001000,21373,1753
36015001100,38736,2303
36015010100,51612,1046
36015010200,61306,1061
36015010300,62167,2998
36015010400,56198,2423
36015010500,42414,1420
36015010600,52569,857
36015010700,79635,2005
36015010800,30789,1721
36015010900,79592,490
36015011000,54412,1808
36015011100,40375,1185
36015011200,56744,1145
36017970100,44476,1128
36017970200,45822,1538
36017970300,41439,1722
36017970400,26596,1563
36017970500,41623,1359
36017970601,45577,1377
36017970602,50757,1471
36017970700,46111,1390
36017970801,49813,1168
36017970802,50063,2114
36017970900,40451,1215
36017971000,53438,784
36019100100,51865,1117
36019100200,58750,1395
36019100300,45113,1258
36019100400,44904,1840
36019100600,58955,354
36019100700,57277,0
36019100800,55625,1901
36019100900,35000,537
36019101000,71678,1329
36019101100,0,618
36019101300,22708,615
36019101400,40625,1054
36019101600,46563,1300
36019101700,64228,1390
36019101800,55274,922
36019101900,66111,869
36019102000,44724,154
36019102100,54191,1007
36019102200,27520,1119
36021000100,53929,1298
36021000200,74167,951
36021000300,78885,660
36021000401,72500,1507
36021000402,79655,1648
36021000500,64358,2
36021000600,54406,916
36021000700,60250,1756
36021000800,72500,828
36021000900,83750,2856
36021001000,51329,940
36021001100,44401,1177
36021001200,31184,1563
36021001300,41152,1389
36021001400,52429,881
36021001500,57895,372
36021001600,66062,1427
36021001700,62045,1282
36021001800,65230,1233
36021001900,63276,633
36021002000,60917,1219
36023970100,51563,1941
36023970200,56808,860
36023970300,55179,2476
36023970400,58199,534
36023970500,43741,1826
36023970600,26194,1826
36023970700,44668,883
36023970800,31875,944
36023970900,33750,1463
36023971000,54179,704
36023971100,47443,958
36023971200,57007,1009
36025970100,47956,1800
36025970200,53214,1195
36025970300,58704,1733
36025970400,40672,1556
36025970500,44973,1528
36025970600,37063,1359
36025970700,46118,1576
36025970800,45208,1154
36025970900,0,1446
36025971000,47500,656
36025971100,44926,788
36025971200,47833,894
36025971300,43548,1420
36025971400,43377,1853
36027010000,56222,1112
36027020003,89024,2194
36027020004,105500,1079
36027020005,98851,628
36027030000,92117,1393
36027040001,64347,2623
36027040003,75811,1958
36027050102,77228,2010
36027050103,110471,1656
36027050104,134758,1177
36027050203,79441,1306
36027050204,96220,1093
36027050205,101629,2148
36027060100,91866,2470
36027060201,64375,2893
36027060202,69813,1575
36027060301,95243,618
36027060302,99583,2152
36027060400,54816,1487
36027070101,72527,2252
36027070102,76270,979
36027070201,61534,750
36027070301,74738,594
36027070401,60179,1568
36027080103,101359,715
36027080104,89808,1904
36027080201,109010,1247
36027080202,99710,1304
36027090000,65529,933
36027100000,63438,176
36027110003,100671,1292
36027110004,79236,2046
36027110005,58780,1619
36027120000,64673,1373
36027130003,65873,1236
36027130004,104605,1106
36027130005,82230,1161
36027140101,64286,826
36027140200,58844,805
36027140300,50302,1540
36027140400,109112,1486
36027140500,62743,2151
36027140602,78424,1294
36027140700,85647,2163
36027140801,70000,1167
36027150003,51688,191
36027150004,94961,774
36027150005,75708,1365
36027150006,50667,1719
36027160003,65288,658
36027160004,73098,599
36027160005,58125,1443
36027170000,67538,1679
36027180001,87841,905
36027190101,83043,312
36027190102,72938,723
36027190203,85417,4237
36027190204,100600,1786
36027190301,75610,1285
36027190401,75208,912
36027190402,73750,434
36027200001,71222,0
36027200002,57450,1083
36027210101,49318,430
36027210201,59706,1209
36027210301,66852,1461
36027220100,22448,771
36027220201,31533,1665
36027220300,27379,1730
36027220700,36630,1027
36027220801,37887,1104
36027220901,51471,376
36027221001,86250,581
36027221100,38953,2006
36027300000,47148,1495
36027410000,66250,998
36027610000,0,340
36027640001,0,1012
36027640002,22188,2152
36029000110,37250,788
36029000200,31625,733
36029000500,33086,1998
36029000600,50017,1595
36029000700,59635,1682
36029000800,48293,761
36029000900,44288,876
36029001000,37746,1710
36029001100,30227,1130
36029001402,21520,856
36029001500,27500,1415
36029001600,13327,1533
36029001700,27115,1204
36029001900,39692,653
36029002300,23573,742
36029002400,31465,0
36029002502,26741,1727
36029002702,14221,3216
36029002800,21997,362
36029002900,21786,955
36029003000,19915,2224
36029003100,17296,1267
36029003301,26835,951
36029003302,21424,645
36029003400,28191,1084
36029003500,14898,2273
36029003600,18092,1099
36029003700,19827,768
36029003800,26067,681
36029003901,27602,1331
36029004001,22607,1600
36029004100,29792,590
36029004200,26006,1345
36029004300,32963,1902
36029004401,29489,1977
36029004402,15282,1307
36029004500,61223,1699
36029004601,43633,1225
36029004602,0,471
36029004700,32087,625
36029004800,68254,850
36029004900,45031,1229
36029005000,34694,951
36029005100,38479,1834
36029005201,46147,1826
36029005202,34292,1378
36029005300,33529,1234
36029005400,56964,962
36029005500,21977,2350
36029005600,29949,388
36029005700,24560,1208
36029005801,37587,2461
36029005802,24460,1621
36029005900,20227,1978
36029006100,26136,1034
36029006201,0,1170
36029006301,54205,872
36029006302,69224,1612
36029006501,45584,1362
36029006601,31688,1846
36029006602,34750,2672
36029006701,41607,1678
36029006702,32988,1812
36029006800,41250,1628
36029006901,19311,1620
36029006902,19955,1519
36029007000,20337,1629
36029007101,16882,1248
36029007102,13925,845
36029007202,43015,1513
36029007302,80957,370
36029007303,63169,878
36029007304,95388,974
36029007600,54884,1053
36029007700,41262,1271
36029007800,51397,1183
36029007901,66020,2158
36029007902,54668,1502
36029007903,61354,1075
36029007904,59875,1656
36029007905,58694,852
36029008001,56612,1470
36029008002,57378,1205
36029008003,53976,1013
36029008101,51639,1253
36029008102,66103,1877
36029008201,51081,1712
36029008202,46226,1030
36029008300,23415,745
36029008400,41534,1881
36029008500,48724,685
36029008600,55570,990
36029008700,49351,1211
36029008800,45804,1051
36029008900,65871,1277
36029009004,75781,1283
36029009006,80989,2375
36029009007,136413,1467
36029009008,63661,1147
36029009009,82857,1031
36029009010,96232,1244
36029009104,92125,1370
36029009106,70170,44
36029009107,59190,1218
36029009109,60938,1288
36029009110,0,1468
36029009112,25532,1332
36029009113,94792,1290
36029009114,80718,2050
36029009115,31146,1092
36029009116,49583,1032
36029009200,45671,1787
36029009301,41016,748
36029009302,53450,1282
36029009401,62328,1174
36029009402,76156,1442
36029009501,97892,989
36029009502,67656,790
36029009600,53789,1883
36029009701,51146,1289
36029009702,48534,1535
36029009800,47650,1001
36029009900,40196,1912
36029010001,51979,1095
36029010002,40143,1438
36029010003,45339,1440
36029010101,59343,883
36029010102,31343,1118
36029010103,46516,1689
36029010201,67162,1610
36029010202,52857,1055
36029010300,45208,1244
36029010400,34942,1277
36029010500,42887,994
36029010600,47897,593
36029010700,48125,1292
36029010803,46750,1308
36029010804,52819,1153
36029010805,53125,1158
36029010807,50762,0
36029010808,53466,1398
36029010809,69308,1242
36029010901,49432,1595
36029010902,33004,1041
36029011000,44231,819
36029011100,48295,763
36029011200,54575,1298
36029011300,56050,252
36029011400,47572,1123
36029011500,45039,1350
36029011600,46332,1252
36029011700,50625,1929
36029011800,47938,1577
36029012001,58108,1288
36029012002,68158,955
36029012003,67830,1073
36029012300,37788,836
36029012400,31174,1810
36029012501,43317,2913
36029012502,45119,1162
36029012800,40194,1120
36029012901,52051,670
36029012902,53458,1882
36029013001,48958,2099
36029013002,53447,1004
36029013101,58988,1048
36029013102,88770,1952
36029013201,58433,600
36029013202,91538,1743
36029013300,62687,1623
36029013400,69095,1623
36029013501,63417,1224
36029013502,133750,1355
36029013600,75781,2134
36029013701,56949,1761
36029013702,80982,2006
36029013800,78108,918
36029013900,66786,1680
36029014000,65250,815
36029014101,72909,465
36029014102,76491,1514
36029014204,55605,958
36029014206,121212,1820
36029014207,67095,587
36029014208,89033,494
36029014209,82310,1337
36029014300,59801,1069
36029014400,44063,1100
36029014501,56029,1632
36029014502,35600,639
36029014601,66875,908
36029014603,98393,403
36029014604,108164,1115
36029014701,79814,1350
36029014702,75221,1027
36029014801,48398,1348
36029014803,55875,707
36029014901,49435,1395
36029014903,63091,1952
36029014904,0,2773
36029015001,77254,2603
36029015002,60719,782
36029015003,60063,938
36029015101,77477,1864
36029015102,60913,1215
36029015201,89324,0
36029015202,65080,1338
36029015301,62785,940
36029015302,57632,1332
36029015401,58456,0
36029015402,70616,117
36029015501,56964,1152
36029015503,42458,1313
36029015504,60189,771
36029015600,61083,2487
36029015700,59688,772
36029015800,53080,910
36029015900,48221,1989
36029016100,0,1277
36029016200,35112,754
36029016300,27407,1643
36029016400,20000,1460
36029016500,21786,915
36029016600,21814,1685
36029016700,36250,1386
36029016800,21385,1751
36029016900,51425,692
36029017000,28495,1103
36029017100,21649,367
36029017200,38785,676
36029017300,71786,827
36029017400,20332,384
36029017501,36071,644
36029017502,60282,1694
36029940000,40000,334
36029940100,0,1288
36029990000,0,647
36031960100,56643,784
36031960200,58281,661
36031960300,56563,1339
36031960498,59401,965
36031960598,45424,1288
36031960700,44719,1063
36031960800,43166,801
36031960900,45727,0
36031961000,45143,1058
36031961100,46081,810
36031961200,42083,763
36031961300,53347,1296
36031961400,47727,1983
36033940000,30424,1003
36033950100,46812,1570
36033950200,38909,1040
36033950300,42298,1053
36033950400,59133,800
36033950501,29545,1420
36033950502,40078,491
36033950600,51042,927
36033950700,45625,1494
36033950800,51827,1307
36033950900,48525,713
36033951000,39414,1347
36033951100,48324,647
36033951200,66552,937
36035970100,52841,1118
36035970200,50333,988
36035970300,48779,752
36035970400,48025,654
36035970500,44068,644
36035970600,50071,2281
36035970700,23854,655
36035970800,35733,0
36035970900,46250,5380
36035971000,39844,738
36035971100,38371,936
36035971200,42697,2253
36035971300,41095,1123
36035971400,58393,1096
36035971500,55347,0
36037940100,30750,922
36037950100,60309,679
36037950200,57150,1117
36037950300,52283,695
36037950400,48849,972
36037950500,45417,1352
36037950600,34309,2532
36037950700,31558,1095
36037950800,38768,989
36037950900,38689,959
36037951000,36198,1239
36037951100,57426,1272
36037951200,52972,736
36037951300,53947,786
36037951400,60000,1833
36039080100,67927,0
36039080201,51538,645
36039080202,43333,1016
36039080300,44833,2079
36039080401,46538,27
36039080402,42784,1395
36039080501,48750,1668
36039080502,49250,1081
36039080600,53750,1641
36039080700,53010,1257
36039080800,0,656
36039080900,55867,832
36039081000,36023,1084
36039081101,52165,1280
36039081102,52344,868
36041950100,54688,790
36041950300,50278,1917
36041950400,47679,2259
36041950500,52143,841
36043010100,58088,1341
36043010201,39688,1081
36043010202,55972,1514
36043010300,51747,905
36043010400,31619,1095
36043010501,38830,909
36043010502,50298,786
36043010701,38611,1247
36043010702,38492,421
36043010900,49698,594
36043011001,40063,1196
36043011002,43917,1370
36043011100,27105,1808
36043011200,39240,632
36043011301,59643,1121
36043011302,44957,1084
36043011400,54649,423
36043011501,44663,359
36043011502,53661,988
36045060100,43827,1131
36045060200,55026,1002
36045060300,55132,739
36045060400,55095,873
36045060500,51212,1204
36045060600,50917,837
36045060700,51038,1092
36045060803,40072,1299
36045060804,45919,771
36045060900,38074,1211
36045061000,50265,852
36045061100,49386,618
36045061200,41359,954
36045061300,29926,805
36045061400,32500,1296
36045061500,46339,1459
36045061600,61250,1227
36045061700,48214,766
36045061800,56006,960
36045061900,53023,3305
36045062100,25522,1492
36045062200,52234,1119
36045062400,70000,821
36045062500,47134,1010
36045980000,0,1273
36045990001,0,1066
36047000100,86210,735
36047000200,33906,1834
36047000301,109375,693
36047000501,98073,1252
36047000502,92219,1595
36047000700,136515,857
36047000900,115952,1023
36047001100,120208,1245
36047001300,108170,1189
36047001500,80203,840
36047001800,0,1903
