Id,Median,Total
060750354005,104625,1100
060014311002,51010,1919
060133451161,123889,1477
060133451162,134375,1604
060014311001,56250,1439
060014009002,62188,950
060750207003,96618,926
060750207002,121250,2004
060014336004,48135,2207
060014336001,79479,780
060014336003,72768,1649
060014336002,83250,1567
060816102013,52552,1031
060816102012,62667,1537
060816102014,45909,2132
060014303001,117448,1263
060014303003,71190,1246
060014303002,83813,1112
060816034004,68656,1531
060816034001,87847,1580
060816034002,72273,899
060816034003,155625,1439
060816012004,103571,1670
060816050005,211875,970
060816012001,47879,2244
060816012002,76979,643
060816012003,80118,1344
060816050002,132333,1064
060014326001,47557,1296
060014326002,48783,1237
060014326003,62813,867
060014326004,81426,850
060014326005,60104,2705
060816007001,73879,2422
060816092011,118000,1127
060014223001,66023,1215
060014223002,52109,1581
060014223003,50625,1057
060750301021,92170,2633
060816059002,60577,1990
060759802001,78625,324
060816040003,72105,1245
060816040002,102679,1081
060816040001,119861,683
060014383001,61250,1480
060014383003,78500,819
060014383002,73906,1664
060750306002,117981,470
060014353001,43611,1393
060014353002,66852,1728
060014353003,65585,1215
060816033001,87075,2434
060816033003,105000,2077
060816033002,112226,2638
060014094001,31734,1117
060014094002,44896,2229
060014094003,36103,1178
060816080044,84602,1623
060816080043,103583,2167
060816080042,141250,1785
060816080041,121350,797
060014231003,51925,929
060014231002,73750,643
060816021002,59205,1102
060816021003,61629,1389
060816087001,147990,1918
060014231004,63625,761
060750314004,46186,976
060750314005,56528,1656
060750314002,63520,1640
060750314003,46625,2055
060750314001,59655,629
060816076004,113819,778
060816076002,88750,655
060816076003,94519,921
060816076001,82083,966
060014047001,139643,958
060014047002,137727,1015
060014228001,25357,4240
060014228003,31490,2112
060014228002,8250,1548
060133451113,173981,847
060750158022,72076,1576
060816066002,81776,1108
060816059003,73235,1523
060133451112,86441,3165
060014225003,26711,2133
060014205001,93409,902
060014205002,70000,1208
060019820001,137813,105
060750302011,71250,1605
060816111002,136731,1878
060816138001,86875,1065
060014060003,19850,2086
060014060002,10596,480
060014060001,35500,753
060816111003,102946,1297
060750202001,75925,1002
060014093001,23021,1444
060014093003,49085,2029
060014093002,42063,1136
060014093004,61181,747
060014364015,47055,1332
060014364014,68566,1559
060014364011,137333,1112
060014364013,42670,1791
060014364012,110795,2296
060014055003,24750,1003
060014055002,38250,934
060014055001,24345,551
060014081002,96133,3145
060014081003,86913,954
060014081001,109888,1506
060014002002,136500,913
060014002001,126563,1031
060750605022,15476,736
060816089001,209000,1183
060750328022,91504,1865
060816089003,81786,2549
060816089004,126131,693
060816103042,85909,1258
060133553061,122386,954
060816073001,111458,1139
060014377021,39504,3110
060014377022,37744,1697
060816103043,79297,995
060750214001,154125,832
060750214003,125400,1250
060750214002,102941,1277
060014012002,59006,957
060014012003,53750,544
060014012001,85078,955
060750105002,115756,1724
060750124011,19077,1535
060750124012,19118,2661
060750477022,96765,1215
060750477023,83487,1574
060750477021,63000,1324
060750227021,179375,1411
060750129012,118750,1388
060750129011,108618,1011
060750227022,127222,913
060133800001,80958,3153
060133800002,23199,1284
060750251002,85948,817
060750251003,94500,539
060750254032,57045,2611
060750251001,81905,1954
060750263011,66875,981
060750263012,53090,1747
060750263013,51658,1572
060816102011,32278,947
060816094001,157019,3586
060014026001,21250,955
060750612001,44375,1044
060133540011,164592,1715
060750106003,28845,1032
060750106002,22484,1510
060750106001,63313,1065
060750218001,107774,1282
060750218003,74861,765
060750218002,116094,1233
060750218004,133846,853
060133902001,110833,909
060750311005,109569,1526
060014276002,31844,2016
060014276003,38516,793
060750311003,83750,818
060014276001,57059,2514
060133383022,183594,1562
060133383021,170455,2539
060014323003,104375,2440
060014501021,128531,1567
060750161004,13240,1792
060750327005,74347,711
060750161001,29865,690
060750161002,22972,1393
060750161003,16136,1032
060750309002,163333,1110
060014052002,66688,899
060014052003,73333,1066
060014052001,78750,1184
060014052004,64222,1498
060014220001,69839,961
060014220002,31000,630
060750428001,164375,882
060750428002,250001,766
060750428003,139432,811
060750307003,130563,2511
060816077013,80089,1741
060816077011,87011,1921
060750307001,136932,2621
060759901000,,0
060014068004,58250,904
060014068003,71042,1071
060014068002,106473,711
060014068001,135625,956
060014201001,115500,1028
060014201002,121705,788
060014201003,87539,593
060750217001,95182,1245
060750217002,125595,883
060750217003,65074,1634
060014017001,51618,864
060014017003,,60
060014017002,64890,1620
060816137003,49369,1751
060014090001,42583,2761
060014090002,,0
060014090003,38750,1270
060014090004,,0
060014204001,39971,3687
060816028001,112841,959
060750165004,95139,1131
060014370003,68977,1266
060014339001,47450,2012
060014339002,31389,1223
060014339003,43015,1305
060014339004,36774,2050
060014033002,17115,1501
060014033001,83222,2539
060816103031,153505,1978
060816103032,147601,1757
060816103033,103095,2170
060816103034,178690,1435
060014025001,38967,1105
060014025002,11745,921
060750205003,129306,817
060750205002,108175,772
060750205001,93462,907
060014065001,43750,1799
060014065002,47891,1000
060014065003,37050,2271
060014065004,38750,983
060816113001,154000,1274
060816041013,64489,3119
060750209003,99318,731
060750209002,46705,1193
060750209001,46759,1982
060750210002,106179,1340
060750210004,76178,1220
060750209004,54722,1063
060014284003,61250,1247
060014284002,58125,1014
060014284001,68784,2245
060750228011,56875,867
060014331041,41058,688
060014331042,24893,1004
060014331043,50329,2334
060014278004,91923,1355
060014278005,74453,876
060014278001,86528,618
060014278002,100962,1385
060014278003,75648,866
060750255006,91607,1674
060750255004,115929,1666
060750255005,105078,1958
060750129022,150291,1254
060750129023,115486,872
060750151001,71250,1310
060750129021,78125,1158
060133451142,79167,1118
060133451143,160455,3028
060750308001,132188,924
060133451141,162609,1696
060014206002,116509,930
060133451144,148654,839
060750308004,101597,1730
060014273005,24653,466
060014273004,34375,540
060750128001,111514,2036
060014273001,54955,1242
060014273003,64118,1214
060014273002,116750,986
060014332001,44265,1704
060750301022,104219,1352
060014332003,52153,1677
060014332002,36818,1981
060014332004,81630,1817
060014217003,58200,1167
060014037011,59973,1224
060014037012,52216,1273
060816114003,182639,1114
060816019012,64795,2372
060750112002,107955,836
060750112003,140167,841
060750112001,70227,1255
060816044003,55703,1770
060816044002,94508,1385
060816044001,65417,1635
